Investigação De Câncer relacionado ao Trabalho - Notificações registradas no Sinan Net - Brasil
Notificações por Ocupação
Período:2019-2023
"Ocupação";"Notificações"
"723310 PINTOR A PINCEL E ROLO (EXCETO OBRAS E ESTRUTURAS METALICAS)";12
"723315 PINTOR DE ESTRUTURAS METALICAS";5
"723330 PINTOR, A PISTOLA (EXCETO OBRAS E ESTRUTURAS METALICAS)";2
"724110 ENCANADOR";4
"724130 INSTALADOR DE TUBULACOES DE GAS COMBUSTIVEL (PRODUCAO E DISTRIBUICAO)";1
"724205 MONTADOR DE ESTRUTURAS METALICAS";1
"724315 SOLDADOR";17
"724410 CALDEIREIRO (CHAPAS DE FERRO E ACO)";1
"724420 CHAPEADOR DE CARROCERIAS METALICAS (FABRICACAO)";1
"724435 FUNILEIRO INDUSTRIAL";2
"724440 SERRALHEIRO";11
"724510 OPERADOR DE MAQUINA DE DOBRAR CHAPAS";1
"724515 PRENSISTA (OPERADOR DE PRENSA)";1
"725010 AJUSTADOR MECANICO";1
"632205 SERINGUEIRO";1
"632515 TRABALHADOR DA EXPLORACAO DE MADEIRAS TANANTES";1
"632605 CARVOEIRO";2
"632615 AJUDANTE DE CARVOARIA";6
"641010 OPERADOR DE MAQUINAS DE BENEFICIAMENTO DE PRODUTOS AGRICOLAS";2
"641015 TRATORISTA AGRICOLA";9
"710205 MESTRE (CONSTRUCAO CIVIL)";11
"710215 INSPETOR DE TERRAPLENAGEM";1
"711130 MINEIRO";7
"711215 OPERADOR DE MAQUINA CORTADORA (MINAS E PEDREIRAS)";2
"711405 GARIMPEIRO";8
"712105 MOLEIRO DE MINERIOS";1
"712205 CORTADOR DE PEDRAS";2
"712220 POLIDOR DE PEDRAS";2
"712225 TORNEIRO (LAVRA DE PEDRA)";1
"715115 OPERADOR DE ESCAVADEIRA";1
"715120 OPERADOR DE MAQUINA DE ABRIR VALAS";2
"715125 OPERADOR DE MAQUINAS DE CONSTRUCAO CIVIL E MINERACAO";8
"715135 OPERADOR DE PA CARREGADEIRA";1
"715140 OPERADOR DE PAVIMENTADORA (ASFALTO, CONCRETO E MATERIAIS SIMILARES)";5
"715205 CALCETEIRO";1
"715210 PEDREIRO";304
"715220 PEDREIRO (MATERIAL REFRATARIO)";1
"715230 PEDREIRO DE EDIFICACOES";3
"715305 ARMADOR DE ESTRUTURA DE CONCRETO";3
"715315 ARMADOR DE ESTRUTURA DE CONCRETO ARMADO";2
"715410 OPERADOR DE BOMBA DE CONCRETO";1
"631205 PESCADOR INDUSTRIAL";1
"715505 CARPINTEIRO";12
"715615 ELETRICISTA DE INSTALACOES";11
"715705 APLICADOR DE ASFALTO IMPERMEABILIZANTE (COBERTURAS)";4
"725405 MECANICO MONTADOR DE MOTORES DE AERONAVES";1
"725415 MECANICO MONTADOR DE MOTORES DE EXPLOSAO E DIESEL";1
"725505 MONTADOR DE VEICULOS (LINHA DE MONTAGEM)";1
"731135 MONTADOR DE EQUIPAMENTOS ELETRICOS";2
"731175 OPERADOR DE LINHA DE MONTAGEM (APARELHOS ELETRICOS)";1
"732105 ELETRICISTA DE MANUTENCAO DE LINHAS ELETRICAS, TELEFONICAS E DE COMUNICACAO DE DADOS";2
"740105 SUPERVISOR DA MECANICA DE PRECISAO";1
"741125 RELOJOEIRO (REPARACAO)";1
"751125 OURIVES";1
"752105 ARTESAO MODELADOR (VIDROS)";2
"752305 CERAMISTA";3
"761309 TECELAO (TEAR AUTOMATICO)";1
"761321 TECELAO (TEAR MECANICO LISO)";2
"761327 TECELAO DE MALHAS, A MAQUINA";2
"762325 OPERADOR DE MAQUINAS DO ACABAMENTO DE COUROS E PELES";1
"763010 COSTUREIRA DE PECAS SOB ENCOMENDA";9
"763015 COSTUREIRA DE REPARACAO DE ROUPAS";4
"763105 AUXILIAR DE CORTE (PREPARACAO DA CONFECCAO DE ROUPAS)";1
"763110 CORTADOR DE ROUPAS";1
"763210 COSTUREIRO NA CONFECCAO EM SERIE";3
"763215 COSTUREIRO, A MAQUINA NA CONFECCAO EM SERIE";2
"763320 OPERADOR DE MAQUINA DE COSTURA DE ACABAMENTO";1
"764005 TRABALHADOR POLIVALENTE DA CONFECCAO DE CALCADOS";1
"764210 MONTADOR DE CALCADOS";1
"765005 CONFECCIONADOR DE ARTEFATOS DE COURO (EXCETO SAPATOS)";1
"765235 ESTOFADOR DE MOVEIS";1
"765310 COSTURADOR DE ARTEFATOS DE COURO, A MAQUINA (EXCETO ROUPAS E CALCADOS)";1
"765405 TRABALHADOR DO ACABAMENTO DE ARTEFATOS DE TECIDOS E COUROS";1
"766205 IMPRESSOR (SERIGRAFIA)";2
"766405 LABORATORISTA FOTOGRAFICO";1
"761005 OPERADOR POLIVALENTE DA INDUSTRIA TEXTIL";2
"768320 SAPATEIRO (CALCADOS SOB MEDIDA)";4
"768620 PAGINADOR";1
"910205 SUPERVISOR DA MANUTENCAO E REPARACAO DE VEICULOS LEVES";1
"911110 MECANICO DE MANUTENCAO DE BOMBAS";1
"911135 MECANICO DE MANUTENCAO DE TURBOCOMPRESSORES";1
"911205 MECANICO DE MANUTENCAO E INSTALACAO DE APARELHOS DE CLIMATIZACAO E REFRIGERACAO";1
"911305 MECANICO DE MANUTENCAO DE MAQUINAS, EM GERAL";14
"913115 MECANICO DE MANUTENCAO DE MAQUINAS AGRICOLAS";1
"914105 MECANICO DE MANUTENCAO DE AERONAVES, EM GERAL";1
"914205 MECANICO DE MANUTENCAO DE MOTORES E EQUIPAMENTOS NAVAIS";2
"914305 MECANICO DE MANUTENCAO DE VEICULOS FERROVIARIOS";2
"914405 MECANICO DE MANUTENCAO DE AUTOMOVEIS, MOTOCICLETAS E VEICULOS SIMILARES";47
"914410 MECANICO DE MANUTENCAO DE EMPILHADEIRAS E OUTROS VEICULOS DE CARGAS LEVES";1
"914415 MECANICO DE MANUTENCAO DE MOTOCICLETAS";1
"914425 MECANICO DE VEICULOS AUTOMOTORES A DIESEL (EXCETO TRATORES)";4
"915305 TECNICO EM MANUTENCAO DE EQUIPAMENTOS E INSTRUMENTOS MEDICO-HOSPITALARES";1
"919110 LUBRIFICADOR DE VEICULOS AUTOMOTORES (EXCETO EMBARCACOES)";1
"919310 MECANICO DE MANUTENCAO DE BICICLETAS E VEICULOS SIMILARES";1
"950205 ENCARREGADO DE MANUTENCAO ELETRICA DE VEICULOS";1
"951105 ELETRICISTA DE MANUTENCAO ELETROELETRONICA";2
"953115 ELETRICISTA DE INSTALACOES (VEICULOS AUTOMOTORES E MAQUINAS OPERATRIZES, EXCETO AERONAVES E EMBARCAC";1
"991305 FUNILEIRO DE VEICULOS (REPARACAO)";4
"991315 PINTOR DE VEICULOS (REPARACAO)";11
"992115 BORRACHEIRO";5
"992120 LAVADOR DE PECAS";1
"992205 ENCARREGADO GERAL DE OPERACOES DE CONSERVACAO DE VIAS PERMANENTES (EXCETO TRILHOS)";1
"992210 ENCARREGADO DE EQUIPE DE CONSERVACAO DE VIAS PERMANENTES (EXCETO TRILHOS)";1
"998999 IGNORADA";7
"999991 ESTUDANTE";3
"999992 DONA DE CASA";42
"999993 APOSENTADO/PENSIONISTA";94
"999994 DESEMPREGADO CRONICO OU CUJA HABITACAO HABITUAL NAO FOI POSSIVEL OBTER";9
"111220 SECRETARIO - EXECUTIVO";1
"768630 CONFECCIONADOR DE CARIMBOS DE BORRACHA";1
"770105 MESTRE (INDUSTRIA DE MADEIRA E MOBILIARIO)";1
"770110 MESTRE CARPINTEIRO";1
"771105 MARCENEIRO";29
"772105 CLASSIFICADOR DE MADEIRA";1
"773105 CORTADOR DE LAMINADOS DE MADEIRA";1
"773120 SERRADOR DE MADEIRA";2
"773205 OPERADOR DE MAQUINA INTERCALADORA E PLACAS (COMPENSADOS)";1
"773330 OPERADOR DE MOLDURADORA (USINAGEM DE MADEIRA)";1
"773355 TORNEIRO NA USINAGEM CONVENCIONAL DE MADEIRA";1
"773415 OPERADOR DE MAQUINA DE USINAGEM DE MADEIRA (PRODUCAO EM SERIE)";1
"782125 OPERADOR DE MONTA-CARGAS (CONSTRUCAO CIVIL)";3
"782220 OPERADOR DE EMPILHADEIRA";7
"782305 MOTORISTA DE CARRO DE PASSEIO";24
"782310 MOTORISTA DE FURGAO OU VEICULO SIMILAR";10
"782315 MOTORISTA DE TAXI";13
"782405 MOTORISTA DE ONIBUS RODOVIARIO";11
"782410 MOTORISTA DE ONIBUS URBANO";15
"782505 CAMINHONEIRO AUTONOMO (ROTAS REGIONAIS E INTERNACIONAIS)";18
"782510 MOTORISTA DE CAMINHAO (ROTAS REGIONAIS E INTERNACIONAIS)";133
"782515 MOTORISTA OPERACIONAL DE GUINCHO";1
"782610 MAQUINISTA DE TREM";4
"782705 MARINHEIRO DE CONVES (MARITIMO E FLUVIARIO)";1
"782815 BOIADEIRO";2
"782820 CONDUTOR DE VEICULOS A PEDAIS";2
"783110 MANOBRADOR";1
"783210 CARREGADOR (ARMAZEM)";3
"783225 AJUDANTE DE MOTORISTA";6
"784105 EMBALADOR, A MAO";1
"784205 ALIMENTADOR DE LINHA DE PRODUCAO";36
"811005 OPERADOR DE PROCESSOS QUIMICOS E PETROQUIMICOS";2
"811325 OPERADOR DE FILTRO-ESTEIRA (MINERACAO)";1
"123105 DIRETOR ADMINISTRATIVO";2
"131310 DIRETOR DE INSTITUICAO EDUCACIONAL PUBLICA";1
"010210 OFICIAL DO EXERCITO";1
"010305 PRACA DA AERONAUTICA";1
"021110 SARGENTO DA POLICIA MILITAR";1
"021210 SOLDADO DA POLICIA MILITAR";1
"030205 CAPITAO BOMBEIRO MILITAR";1
"141205 GERENTE DE PRODUCAO E OPERACOES";3
"141410 COMERCIANTE VAREJISTA";13
"141615 GERENTE DE LOGISTICA (ARMAZENAGEM E DISTRIBUICAO)";1
"142105 GERENTE ADMINISTRATIVO";1
"142115 GERENTE FINANCEIRO";1
"142305 GERENTE COMERCIAL";2
"142320 GERENTE DE VENDAS";1
"142505 GERENTE DE REDE";2
"811425 OPERADOR DE EQUIPAMENTO DE DESTILACAO DE ALCOOL";1
"811750 MOLDADOR DE BORRACHA POR COMPRESSAO";1
"811760 MOLDADOR DE PLASTICO POR COMPRESSAO";1
"813115 OPERADOR DE EXTRUSORA (QUIMICA, PETROQUIMICA E AFINS)";1
"813125 OPERADOR DE PRODUCAO (QUIMICA, PETROQUIMICA E AFINS)";1
"818110 AUXILIAR DE LABORATORIO DE ANALISES FISICO-QUIMICAS";1
"821205 FORNEIRO E OPERADOR (ALTO-FORNO)";3
"821215 FORNEIRO E OPERADOR (FORNO ELETRICO)";1
"821405 ENCARREGADO DE ACABAMENTO DE CHAPAS E METAIS (TEMPERA)";1
"821415 MARCADOR DE PRODUTOS (SIDERURGICO E METALURGICO)";4
"821435 OPERADOR DE JATO ABRASIVO";1
"823230 MOLDADOR DE ABRASIVOS NA FABRICACAO DE CERAMICA, VIDRO E PORCELANA";1
"823320 TRABALHADOR DA ELABORACAO DE PRE-FABRICADOS (CIMENTO AMIANTO)";7
"823330 TRABALHADOR DA FABRICACAO DE PEDRAS ARTIFICIAIS";2
"828110 OLEIRO (FABRICACAO DE TIJOLOS)";4
"811205 OPERADOR DE CALCINACAO (TRATAMENTO QUIMICO E AFINS)";1
"832110 OPERADOR DE CORTADEIRA DE PAPEL";1
"212420 ANALISTA DE SUPORTE COMPUTACIONAL";1
"213205 QUIMICO";1
"214205 ENGENHEIRO CIVIL";1
"841408 COZINHADOR (CONSERVACAO DE ALIMENTOS)";2
"841416 COZINHADOR DE CARNES";1
"841440 ESTERILIZADOR DE ALIMENTOS";1
"841464 PRENSADOR DE FRUTAS (EXCETO OLEAGINOSAS)";1
"841710 FILTRADOR DE CERVEJA";1
"842115 CLASSIFICADOR DE FUMO";1
"848305 PADEIRO";4
"848310 CONFEITEIRO";2
"848510 ACOUGUEIRO";2
"862140 OPERADOR DE ESTACAO DE BOMBEAMENTO";1
"862150 OPERADOR DE MAQUINAS FIXAS, EM GERAL";20
"862405 OPERADOR DE INSTALACAO DE EXTRACAO, PROCESSAMENTO, ENVASAMENTO E DISTRIBUICAO DE GASES";1
"862515 OPERADOR DE INSTALACAO DE AR-CONDICIONADO";1
"910105 ENCARREGADO DE MANUTENCAO MECANICA DE SISTEMAS OPERACIONAIS";1
"222110 ENGENHEIRO AGRONOMO";3
"222120 ENGENHEIRO FLORESTAL";1
"223208 CIRURGIAO DENTISTA - CLINICO GERAL";1
"223256 CIRURGIAO DENTISTA - PROTESISTA";1
"223505 ENFERMEIRO";5
"223520 ENFERMEIRO DE CENTRO CIRURGICO";1
"223605 FISIOTERAPEUTA";1
"223610 FONOAUDIOLOGO";1
"231205 PROFESSOR DA EDUCACAO DE JOVENS E ADULTOS DO ENSINO FUNDAMENTAL (PRIMEIRA A QUARTA SERIE)";8
"231315 PROFESSOR DE EDUCACAO FISICA DO ENSINO FUNDAMENTAL";1
"231335 PROFESSOR DE LINGUA PORTUGUESA DO ENSINO FUNDAMENTAL";1
"252105 ADMINISTRADOR";5
"252210 CONTADOR";2
"252305 SECRETARIA EXECUTIVA";2
"254110 TECNICO DA RECEITA FEDERAL";1
"254310 AGENTE DE HIGIENE E SEGURANCA";2
"261305 ARQUIVISTA";1
"261805 FOTOGRAFO";1
"262110 PRODUTOR CINEMATOGRAFICO";1
"262710 MUSICO INTERPRETE INSTRUMENTISTA";1
"263110 MISSIONARIO";1
"301110 TECNICO DE LABORATORIO DE ANALISES FISICO-QUIMICAS (MATERIAIS DE CONSTRUCAO)";2
"311105 TECNICO QUIMICO";1
"232110 PROFESSOR DE BIOLOGIA NO ENSINO MEDIO";1
"232115 PROFESSOR DE DISCIPLINAS PEDAGOGICAS NO ENSINO MEDIO";2
"233105 PROFESSOR DA AREA DE MEIO AMBIENTE";1
"233210 INSTRUTOR DE APRENDIZAGEM E TREINAMENTO INDUSTRIAL";1
"234915 PROFESSOR DE MUSICA NO ENSINO SUPERIOR";1
"311715 PREPARADOR DE TINTAS";1
"312105 TECNICO DE OBRAS CIVIS";2
"312320 TOPOGRAFO";3
"313105 ELETROTECNICO";2
"313130 TECNICO ELETRICISTA";1
"313215 TECNICO ELETRONICO";2
"314105 TECNICO EM MECANICA DE PRECISAO";1
"314110 TECNICO MECANICO";6
"314120 TECNICO MECANICO (MAQUINAS)";1
"314125 TECNICO MECANICO (MOTORES)";1
"314205 TECNICO MECANICO NA FABRICACAO DE FERRAMENTAS";1
"314410 TECNICO EM MANUTENCAO DE MAQUINAS";2
"314705 TECNICO DE ACABAMENTO EM SIDERURGIA";1
"314715 TECNICO DE FUNDICAO EM SIDERURGIA";1
"316315 TECNICO EM PROCESSAMENTO MINERAL (EXCETO PETROLEO)";1
"316330 TECNICO EM PLANEJAMENTO DE LAVRA DE MINAS";1
"318810 MODELISTA DE ROUPAS";1
"321110 TECNICO AGROPECUARIO";2
"322205 TECNICO DE ENFERMAGEM";14
"322225 INSTRUMENTADOR CIRURGICO";1
"322230 AUXILIAR DE ENFERMAGEM";7
"322405 TECNICO EM HIGIENE DENTAL";1
"322410 PROTETICO DENTARIO";1
"322420 AUXILIAR DE PROTESE DENTARIA";2
"324115 TECNICO EM RADIOLOGIA E IMAGENOLOGIA";5
"325105 AUXILIAR TECNICO EM LABORATORIO DE FARMACIA";1
"331105 PROFESSOR DE NIVEL MEDIO NA EDUCACAO INFANTIL";1
"331205 PROFESSOR DE NIVEL MEDIO NO ENSINO FUNDAMENTAL";1
"333105 INSTRUTOR DE AUTO-ESCOLA";1
"333115 PROFESSORES DE CURSOS LIVRES";1
"341120 PILOTO AGRICOLA";1
"341315 ELETRICISTA DE BORDO";1
"342310 INSPETOR DE SERVICOS DE TRANSPORTES RODOVIARIOS (PASSAGEIROS E CARGAS)";1
"342405 AGENTE DE ESTACAO (FERROVIA E METRO)";1
"351605 TECNICO EM SEGURANCA NO TRABALHO";2
"351725 INSPETOR DE RISCO";1
"352205 AGENTE DE DEFESA AMBIENTAL";2
"352210 AGENTE DE SAUDE PUBLICA";11
"352310 AGENTE FISCAL DE QUALIDADE";1
"354145 VENDEDOR PRACISTA";1
"354205 COMPRADOR";1
"321105 TECNICO AGRICOLA";3
"354605 CORRETOR DE IMOVEIS";2
"354705 REPRESENTANTE COMERCIAL AUTONOMO";4
"XXX    NÆo Informado";10
"513505 Auxiliar nos servi‡os de alimenta‡Æo";3
"513605 Churrasqueiro";1
"514310 Auxiliar de manuten‡Æo predial";5
"763125 Ajudante de confec‡Æo";1
"842135 Operador de m quina de prepara‡Æo de mat‚ria prima para produ‡Æo de cigarros";1
"3222B3 SOCORRISTA HABILITADO";1
"000000 CBO sem defini‡Æo";1
"212320 Administrador em seguran‡a da informa‡Æo";1
"214615 Tecn¢logo em metalurgia";6
"322250 Auxiliar de enfermagem da estrat‚gia de sa£de da fam¡lia";1
"322430 Auxiliar em sa£de bucal da estrat‚gia de sa£de da fam¡lia";1
"324120 Tecn¢logo em radiologia";2
"334115 Monitor de transporte escolar";1
"516220 Cuidador em sa£de";1
"519210 Selecionador de material recicl vel";1
"791105 ArtesÆo bordador";2
"791115 ArtesÆo com material recicl vel";1
"791120 ArtesÆo confeccionador de bioj¢ias e ecoj¢ias";1
"791130 ArtesÆo escultor";1
"Total";3634
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis / Período - Correspondem aos anos de notificação dos casos.
 CAT - Comunicação de acidente de trabalho O campo "CNAE – Ativ. Econ." considera os códigos referentes as tabelas CNAE 1.0.
 Dados a partir 2020 do Espírito Santo não estão disponíveis neste sistema, pois são oriundos do Sistema de Informação e-SUS VS,
 Dados de 2006 a 2017 revisados e atualizados em 15/08/2022.
 Dados de 2018 revisados e atualizados em 22/08/2022.
 Dados de 2019 atualizados em junho de 2023.
 Dados de 2020 atualizados em junho de 2023, sujeitos à revisão.
 Dados de 2021 revisados e atualizados em agosto de 2023, sujeitos à revisão.
 Dados de 2022 revisados e atualizados em julho de 2023, sujeitos à revisão.
 Dados de 2023 atualizados em janeiro de 2024, sujeitos à revisão.
 * Dados disponibilizados no TABNET em fevereiro de 2024.
 
